name,result
HeStutters_5_34,1
FluencyBank_193_87,0
HeStutters_5_36,1
StrongVoices_22_30,1
FluencyBank_031_68,0
WomenWhoStutter_101_173,1
MyStutteringLife_26_24,1
FluencyBank_985_168,0
StutteringIsCool_69_24,1
FluencyBank_017_53,0
FluencyBank_111_46,0
FluencyBank_193_64,0
StutterTalk_8_185,1
FluencyBank_179_37,0
WomenWhoStutter_6_190,1
StutterTalk_33_10,1
HVSA_0_61,1
FluencyBank_097_145,0
WomenWhoStutter_90_29,1
FluencyBank_099_71,0
MyStutteringLife_35_158,1
StutterTalk_37_146,1
FluencyBank_017_41,0
FluencyBank_985_38,0
MyStutteringLife_25_28,1
StrongVoices_32_154,1
FluencyBank_109_74,0
FluencyBank_121_75,0
FluencyBank_031_14,0
FluencyBank_147_26,0
IStutterSoWhat_0_66,1
HeStutters_12_29,1
FluencyBank_109_43,0
FluencyBank_219_32,0
StrongVoices_29_38,1
MyStutteringLife_30_52,1
StutteringIsCool_34_84,1
FluencyBank_111_75,0
WomenWhoStutter_42_63,1
FluencyBank_096_87,0
StutterTalk_43_157,1
IStutterSoWhat_3_83,1
StutteringIsCool_50_16,1
WomenWhoStutter_1_154,1
StutteringIsCool_81_10,1
FluencyBank_017_20,0
FluencyBank_024_19,0
FluencyBank_081_18,0
StutterTalk_65_25,1
WomenWhoStutter_97_157,1
WomenWhoStutter_88_174,1
WomenWhoStutter_0_241,1
FluencyBank_087_19,0
FluencyBank_087_41,0
FluencyBank_089_136,0
WomenWhoStutter_40_7,1
WomenWhoStutter_14_192,1
WomenWhoStutter_57_153,1
WomenWhoStutter_58_32,1
FluencyBank_016_70,0
HeStutters_6_14,1
WomenWhoStutter_50_375,1
FluencyBank_089_24,0
WomenWhoStutter_92_29,1
StutterTalk_43_146,1
HeStutters_21_205,1
FluencyBank_016_33,0
FluencyBank_096_57,0
FluencyBank_107_93,0
FluencyBank_178_28,0
HVSA_0_128,1
HVSA_3_50,1
FluencyBank_121_47,0
StutterTalk_26_58,1
StutteringIsCool_48_0,1
HeStutters_2_187,1
IStutterSoWhat_2_88,1
FluencyBank_024_174,0
HeStutters_16_102,1
FluencyBank_111_128,0
FluencyBank_121_129,0
StrongVoices_10_178,1
StutterTalk_26_115,1
StutteringIsCool_7_3,1
FluencyBank_098_63,0
FluencyBank_093_47,0
MyStutteringLife_7_162,1
FluencyBank_096_46,0
StutterTalk_73_14,1
FluencyBank_076_64,0
FluencyBank_010_37,0
FluencyBank_010_61,0
FluencyBank_024_178,0
FluencyBank_016_1,0
FluencyBank_081_24,0
HeStutters_20_154,1
FluencyBank_107_38,0
FluencyBank_985_8,0
FluencyBank_985_125,0
FluencyBank_179_10,0
StutteringIsCool_78_38,1
WomenWhoStutter_47_4,1
FluencyBank_010_95,0
FluencyBank_024_113,0
FluencyBank_107_89,0
FluencyBank_121_19,0
FluencyBank_147_17,0
FluencyBank_093_69,0
FluencyBank_024_134,0
WomenWhoStutter_50_76,1
FluencyBank_076_65,0
FluencyBank_099_17,0
FluencyBank_081_39,0
FluencyBank_132_73,0
StutterTalk_20_36,1
FluencyBank_024_98,0
WomenWhoStutter_54_26,1
FluencyBank_081_69,0
StrongVoices_6_176,1
FluencyBank_097_6,0
StrongVoices_23_148,1
FluencyBank_132_15,0
FluencyBank_218_0,0
FluencyBank_089_127,0
StutterTalk_33_38,1
FluencyBank_111_155,0
FluencyBank_099_70,0
StutteringIsCool_64_35,1
MyStutteringLife_20_20,1
FluencyBank_097_74,0
StrongVoices_27_12,1
FluencyBank_173_54,0
WomenWhoStutter_1_145,1
FluencyBank_985_114,0
FluencyBank_098_36,0
StutterTalk_43_144,1
WomenWhoStutter_76_7,1
FluencyBank_178_162,0
FluencyBank_985_80,0
FluencyBank_121_72,0
FluencyBank_121_80,0
HVSA_3_157,1
StutterTalk_63_33,1
FluencyBank_132_83,0
StutteringIsCool_46_118,1
FluencyBank_147_9,0
StutteringIsCool_6_0,1
StutterTalk_64_4,1
StrongVoices_23_221,1
StutteringIsCool_79_9,1
StrongVoices_23_120,1
WomenWhoStutter_86_74,1
StutteringIsCool_64_34,1
WomenWhoStutter_74_109,1
WomenWhoStutter_102_15,1
FluencyBank_179_56,0
FluencyBank_089_5,0
FluencyBank_081_157,0
FluencyBank_107_25,0
FluencyBank_031_50,0
HeStutters_15_4,1
WomenWhoStutter_47_3,1
StutterTalk_8_165,1
WomenWhoStutter_18_22,1
FluencyBank_985_52,0
FluencyBank_089_37,0
WomenWhoStutter_50_419,1
HeStutters_1_159,1
FluencyBank_024_34,0
WomenWhoStutter_77_15,1
WomenWhoStutter_30_82,1
StutterTalk_33_102,1
WomenWhoStutter_42_21,1
HeStutters_1_234,1
FluencyBank_010_79,0
FluencyBank_985_13,0
FluencyBank_179_47,0
FluencyBank_089_117,0
FluencyBank_096_31,0
FluencyBank_097_123,0
StutterTalk_77_27,1
FluencyBank_096_28,0
FluencyBank_099_63,0
FluencyBank_097_53,0
WomenWhoStutter_14_204,1
FluencyBank_081_85,0
MyStutteringLife_23_167,1
StutterTalk_50_4,1
FluencyBank_098_86,0
MyStutteringLife_1_33,1
StrongVoices_32_35,1
FluencyBank_098_88,0
FluencyBank_985_181,0
WomenWhoStutter_55_36,1
StutterTalk_1_9,1
FluencyBank_081_33,0
FluencyBank_230_44,0
FluencyBank_063_53,0
WomenWhoStutter_0_160,1
FluencyBank_016_79,0
FluencyBank_985_156,0
WomenWhoStutter_24_16,1
FluencyBank_173_34,0
FluencyBank_173_19,0
FluencyBank_063_54,0
FluencyBank_097_15,0
HeStutters_12_208,1
HeStutters_15_68,1
HeStutters_6_224,1
WomenWhoStutter_0_270,1
FluencyBank_985_51,0
FluencyBank_031_56,0
FluencyBank_093_70,0
FluencyBank_046_112,0
WomenWhoStutter_56_18,1
FluencyBank_111_136,0
StrongVoices_6_105,1
StutterTalk_33_191,1
StrongVoices_5_39,1
StutterTalk_70_6,1
WomenWhoStutter_1_167,1
IStutterSoWhat_1_69,1
WomenWhoStutter_0_256,1
FluencyBank_178_26,0
StrongVoices_32_53,1
FluencyBank_121_127,0
StutteringIsCool_75_11,1
WomenWhoStutter_6_72,1
FluencyBank_218_55,0
HeStutters_12_195,1
MyStutteringLife_2_8,1
FluencyBank_087_7,0
FluencyBank_230_36,0
FluencyBank_097_106,0
FluencyBank_109_37,0
FluencyBank_097_155,0
HeStutters_11_52,1
FluencyBank_121_119,0
MyStutteringLife_35_43,1
FluencyBank_132_30,0
StrongVoices_31_2,1
FluencyBank_193_16,0
IStutterSoWhat_3_53,1
WomenWhoStutter_50_501,1
FluencyBank_046_18,0
FluencyBank_179_13,0
WomenWhoStutter_96_35,1
FluencyBank_099_95,0
MyStutteringLife_7_130,1
FluencyBank_107_88,0
IStutterSoWhat_2_3,1
WomenWhoStutter_2_65,1
FluencyBank_089_26,0
FluencyBank_099_184,0
MyStutteringLife_35_21,1
HeStutters_14_8,1
MyStutteringLife_30_25,1
WomenWhoStutter_109_29,1
FluencyBank_109_11,0
FluencyBank_010_41,0
FluencyBank_081_19,0
FluencyBank_218_32,0
FluencyBank_230_108,0
FluencyBank_218_57,0
StutteringIsCool_47_30,1
FluencyBank_016_87,0
HeStutters_8_121,1
FluencyBank_096_27,0
HeStutters_11_36,1
FluencyBank_097_13,0
StrongVoices_23_150,1
FluencyBank_985_72,0
FluencyBank_010_87,0
FluencyBank_093_7,0
FluencyBank_063_91,0
FluencyBank_024_20,0
HVSA_2_36,1
WomenWhoStutter_2_197,1
FluencyBank_093_65,0
WomenWhoStutter_50_240,1
FluencyBank_081_55,0
StutterTalk_64_62,1
HeStutters_15_96,1
WomenWhoStutter_24_13,1
StrongVoices_1_8,1
FluencyBank_076_71,0
FluencyBank_147_66,0
FluencyBank_218_64,0
MyStutteringLife_31_0,1
HeStutters_2_153,1
WomenWhoStutter_1_3,1
FluencyBank_218_73,0
WomenWhoStutter_30_173,1
StutteringIsCool_7_33,1
FluencyBank_024_162,0
HeStutters_5_28,1
HeStutters_2_129,1
FluencyBank_121_63,0
WomenWhoStutter_10_71,1
WomenWhoStutter_27_22,1
HeStutters_6_153,1
StutterTalk_26_74,1
FluencyBank_173_1,0
FluencyBank_111_138,0
StrongVoices_2_2,1
FluencyBank_010_69,0
WomenWhoStutter_86_1,1
FluencyBank_097_21,0
HeStutters_22_132,1
WomenWhoStutter_99_198,1
WomenWhoStutter_39_20,1
WomenWhoStutter_66_2,1
FluencyBank_178_97,0
FluencyBank_081_152,0
HeStutters_19_167,1
FluencyBank_099_164,0
FluencyBank_219_78,0
FluencyBank_109_65,0
StutteringIsCool_44_29,1
WomenWhoStutter_34_209,1
StutterTalk_67_2,1
WomenWhoStutter_80_10,1
FluencyBank_098_11,0
FluencyBank_024_170,0
FluencyBank_010_19,0
StutteringIsCool_77_6,1
FluencyBank_097_58,0
StutteringIsCool_27_30,1
WomenWhoStutter_61_0,1
FluencyBank_173_65,0
FluencyBank_017_29,0
WomenWhoStutter_1_26,1
WomenWhoStutter_81_47,1
FluencyBank_219_64,0
FluencyBank_179_1,0
WomenWhoStutter_83_25,1
FluencyBank_097_64,0
FluencyBank_098_81,0
MyStutteringLife_32_134,1
FluencyBank_024_9,0
StutterTalk_70_18,1
FluencyBank_218_79,0
WomenWhoStutter_0_88,1
FluencyBank_093_89,0
WomenWhoStutter_42_200,1
HVSA_2_185,1
HeStutters_23_99,1
FluencyBank_097_148,0
StutterTalk_18_6,1
FluencyBank_089_31,0
FluencyBank_081_125,0
FluencyBank_093_81,0
FluencyBank_099_175,0
FluencyBank_063_21,0
StrongVoices_10_214,1
StutteringIsCool_80_54,1
WomenWhoStutter_0_177,1
StutterTalk_33_183,1
HeStutters_8_81,1
StrongVoices_6_178,1
WomenWhoStutter_14_95,1
WomenWhoStutter_31_26,1
FluencyBank_178_107,0
FluencyBank_985_159,0
FluencyBank_097_96,0
FluencyBank_093_25,0
WomenWhoStutter_39_46,1
WomenWhoStutter_86_113,1
FluencyBank_017_12,0
FluencyBank_099_131,0
FluencyBank_178_89,0
HeStutters_11_94,1
FluencyBank_173_52,0
FluencyBank_097_170,0
MyStutteringLife_7_23,1
IStutterSoWhat_1_97,1
StutteringIsCool_46_187,1
FluencyBank_081_66,0
WomenWhoStutter_74_52,1
FluencyBank_031_21,0
WomenWhoStutter_82_32,1
FluencyBank_099_10,0
StutterTalk_24_20,1
StutteringIsCool_80_58,1
FluencyBank_081_58,0
WomenWhoStutter_99_176,1
FluencyBank_218_51,0
FluencyBank_081_32,0
FluencyBank_132_31,0
HeStutters_16_196,1
HeStutters_14_10,1
StrongVoices_21_27,1
FluencyBank_178_142,0
HeStutters_15_61,1
StutteringIsCool_82_170,1
HeStutters_15_50,1
FluencyBank_193_100,0
WomenWhoStutter_30_96,1
FluencyBank_218_29,0
WomenWhoStutter_10_135,1
FluencyBank_099_158,0
StutteringIsCool_34_99,1
MyStutteringLife_4_22,1
StrongVoices_22_22,1
FluencyBank_098_116,0
WomenWhoStutter_6_101,1
StrongVoices_23_64,1
FluencyBank_097_133,0
WomenWhoStutter_14_121,1
WomenWhoStutter_108_27,1
HeStutters_20_176,1
HeStutters_2_155,1
FluencyBank_230_73,0
FluencyBank_230_115,0
FluencyBank_098_59,0
FluencyBank_193_85,0
FluencyBank_230_26,0
FluencyBank_031_7,0
FluencyBank_010_50,0
StrongVoices_24_31,1
FluencyBank_218_31,0
FluencyBank_017_35,0
FluencyBank_076_45,0
WomenWhoStutter_87_91,1
StutteringIsCool_50_13,1
HeStutters_15_94,1
FluencyBank_087_0,0
HeStutters_20_245,1
FluencyBank_107_44,0
WomenWhoStutter_79_11,1
MyStutteringLife_8_33,1
FluencyBank_063_59,0
WomenWhoStutter_42_271,1
WomenWhoStutter_56_99,1
StrongVoices_32_98,1
FluencyBank_173_71,0
FluencyBank_178_148,0
FluencyBank_024_22,0
FluencyBank_178_150,0
WomenWhoStutter_99_79,1
FluencyBank_097_51,0
FluencyBank_173_42,0
HeStutters_21_7,1
WomenWhoStutter_86_150,1
FluencyBank_111_13,0
WomenWhoStutter_10_89,1
StutterTalk_40_32,1
WomenWhoStutter_93_30,1
StrongVoices_3_19,1
FluencyBank_193_98,0
FluencyBank_985_1,0
FluencyBank_089_88,0
FluencyBank_046_78,0
FluencyBank_132_20,0
FluencyBank_109_77,0
FluencyBank_017_23,0
FluencyBank_010_65,0
WomenWhoStutter_99_83,1
HVSA_3_44,1
WomenWhoStutter_77_10,1
FluencyBank_147_93,0
StrongVoices_6_47,1
FluencyBank_985_171,0
FluencyBank_071_3,0
FluencyBank_024_86,0
FluencyBank_063_104,0
FluencyBank_076_17,0
HeStutters_19_148,1
HeStutters_16_67,1
HVSA_0_36,1
FluencyBank_017_7,0
FluencyBank_107_84,0
FluencyBank_046_8,0
FluencyBank_098_121,0
FluencyBank_107_77,0
WomenWhoStutter_1_111,1
FluencyBank_096_61,0
FluencyBank_063_27,0
StutteringIsCool_12_31,1
StutteringIsCool_39_10,1
FluencyBank_985_0,0
FluencyBank_024_140,0
FluencyBank_098_124,0
StutteringIsCool_80_55,1
FluencyBank_985_63,0
FluencyBank_178_120,0
IStutterSoWhat_0_40,1
WomenWhoStutter_10_158,1
HeStutters_15_142,1
FluencyBank_063_60,0
FluencyBank_087_25,0
HVSA_2_33,1
FluencyBank_111_118,0
FluencyBank_193_11,0
FluencyBank_046_61,0
FluencyBank_230_79,0
FluencyBank_063_65,0
StutterTalk_6_157,1
